Country,Code,Year,Meat_total
Bahamas,BHS,1961,126.7
Brunei,BRN,1961,1289.8
Qatar,QAT,1961,1769.2
Faroe Islands,FRO,1961,
Tuvalu,TUV,1961,3
Antigua and Barbuda,ATG,1961,395
Maldives,MDV,1961,4
Saint Kitts and Nevis,KNA,1961,447
Grenada,GRD,1961,615
Cape Verde,CPV,1961,656
Samoa,WSM,1961,171
Mauritius,MUS,1961,274
Oman,OMN,1961,3215
Gambia,GMB,1961,389
Martinique,MTQ,1961,546
Guyana,GUY,1961,5583
Malta,MLT,1961,6386
Sierra Leone,SLE,1961,8813
Burundi,BDI,1961,918
Jordan,JOR,1961,125
Cyprus,CYP,1961,1144
Eswatini,SWZ,1961,12139
Kuwait,KWT,1961,12375
Malawi,MWI,1961,12586
Libya,LBY,1961,14356
Benin,BEN,1961,19388
Iceland,ISL,1961,1947
Albania,ALB,1961,2541
Cambodia,KHM,1961,27223
Honduras,HND,1961,28263
Central African Republic,CAF,1961,28445
Panama,PAN,1961,2957
Mauritania,MRT,1961,321
Mozambique,MOZ,1961,375
East Timor,TLS,1961,3884
Saudi Arabia,SAU,1961,384
Zambia,ZMB,1961,445
Yemen,YEM,1961,4661
Singapore,SGP,1961,51891
Tunisia,TUN,1961,52154
Nepal,NPL,1961,62451
Ghana,GHA,1961,62493
Israel,ISR,1961,6255
Cameroon,CMR,1961,62562
Somalia,SOM,1961,78786
Algeria,DZA,1961,8284
North Korea,PRK,1961,86488
Uganda,UGA,1961,92123
Iraq,IRQ,1961,956
Myanmar,MMR,1961,16436
Afghanistan,AFG,1961,12942
Norway,NOR,1961,137659
Finland,FIN,1961,144
Morocco,MAR,1961,164813
Mongolia,MNG,1961,1655
Democratic Republic of Congo,COD,1961,16685
Bangladesh,BGD,1961,1689
Portugal,PRT,1961,17363
Venezuela,VEN,1961,29785
Peru,PER,1961,217253
Sudan (former),,1961,22855
Chile,CHL,1961,229344
Taiwan,TWN,1961,23542
Switzerland,CHE,1961,25951
Bulgaria,BGR,1961,289168
Egypt,EGY,1961,29596
Nigeria,NGA,1961,3435
Ireland,IRL,1961,311867
Iran,IRN,1961,31971
Philippines,PHL,1961,33416
Indonesia,IDN,1961,33815
Barbados,BRB,1961,283.7
Bhutan,BTN,1961,2892.2
Pakistan,PAK,1961,36589
Sweden,SWE,1961,367545
Vietnam,VNM,1961,374975
Colombia,COL,1961,44245
Austria,AUT,1961,453845
Ethiopia (former),OWID_ERE,1961,463418
Turkey,TUR,1961,477924
Belgium-Luxembourg (FAO),,1961,56855
Romania,ROU,1961,57117
South Africa,ZAF,1961,67347
Spain,ESP,1961,659863
Japan,JPN,1961,687135
Netherlands,NLD,1961,721
Fiji,FJI,1961,397.8
New Zealand,NZL,1961,741698
Western Africa (FAO),,1961,755762
Yugoslavia,OWID_YGS,1961,75949
Hungary,HUN,1961,7649
New Caledonia,NCL,1961,465.8
Northern Africa (FAO),,1961,838673
Denmark,DNK,1961,84625
Suriname,SUR,1961,4548.2
Mexico,MEX,1961,13181
Australia,AUS,1961,14927
Italy,ITA,1961,147315
Canada,CAN,1961,1478414
Poland,POL,1961,17179
South-eastern Asia (FAO),,1961,1812574
Reunion,REU,1961,7196.8
United Arab Emirates,ARE,1961,7571.1
Guinea-Bissau,GNB,1961,7738.5
United Kingdom,GBR,1961,221619
China,CHN,1961,222194
Oceania,,1961,229694
Oceania (FAO),,1961,229694
Argentina,ARG,1961,264313
Trinidad and Tobago,TTO,1961,992.5
Southern Europe (FAO),,1961,3253748
France,FRA,1961,36927
Northern Europe (FAO),,1961,42841
Germany,DEU,1961,4238328
Lower-middle-income countries,,1961,5794166
USSR,OWID_USS,1961,87
Asia,,1961,934635
Asia (FAO),,1961,94639
Western Europe (FAO),,1961,9925329
Eastern Europe (FAO),,1961,12796593
United States,USA,1961,1651333
European Union (27),,1961,1659825
European Union (27) (FAO),,1961,1715888
Northern America (FAO),,1961,17991448
North America,,1961,19582326
Upper-middle-income countries,,1961,22121494
Americas (FAO),,1961,2698392
Europe,,1961,2945463
Europe (FAO),,1961,348
High-income countries,,1961,4132764
